Kursnummer;Kurstitel;Uhrzeit_Beginn;Uhrzeit_Ende;Wochentag;Raum;Trainer;Kategorie;Beschreibung;Sparte;Trainerzahl
S12;Salsa Einsteiger;15:30:00;16:30:00;Sonntag;ARTICO 5er;,026,,052,;Ferienkurs;;Salsa L.A.;2
S22;Salsa Fortgeschritten;16:45:00;18:15:00;Sonntag;ARTICO 5er;,026,,052,;Ferienkurs;;Salsa L.A.;2
SR0;Salsa NEUEINSTIEG Regensburg (nur einmal im Monat);16:00:00;17:30:00;Sonntag;Regensburg;,067,,106,;Ferienkurs;;Salsa Regensburg;2
SRB3;Bachata Fortgeschritten Regensburg;18:00:00;19:30:00;Sonntag;Regensburg;,067,,106,;Ferienkurs;;Salsa Regensburg;2
SR1;Salsa Einsteiger Regensburg;19:30:00;21:00:00;Sonntag;Regensburg;,067,,106,;Ferienkurs;;Salsa Regensburg;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
