Kursnummer;Kurstitel;Uhrzeit_Beginn;Uhrzeit_Ende;Wochentag;Raum;Trainer;Kategorie;Beschreibung;Sparte;Trainerzahl
C23;Circusminis;16:15:00;17:00:00;Donnerstag;ARTICO 3er;,009,,038,;;;Circus;2
C46;Circuskids;17:00:00;18:00:00;Donnerstag;ARTICO 3er;,009,,038,;;;Circus;2
FR3;RückenFit;18:30:00;19:30:00;Donnerstag;ARTICO 3er;,010,;;;Fitness und Gesundheit;1
C91;Artistik für Erwachsene;20:30:00;21:30:00;Donnerstag;ARTICO 3er;,005,;;;Circus;1
B42;Ballett Arabesque;15:00:00;16:00:00;Donnerstag;ARTICO 4er;,012,;;;Ballett;1
B22;Elfenballett;16:00:00;16:45:00;Donnerstag;ARTICO 4er;,012,,100,;;;Ballett;2
B32;Balletsternchen;16:45:00;17:30:00;Donnerstag;ARTICO 4er;,012,,100,;;;Ballett;1
B52;Ballett Jetés;17:30:00;18:30:00;Donnerstag;ARTICO 4er;,012,;;;Ballett;1
BE1;Ballett Erwachsene;18:30:00;19:30:00;Donnerstag;ARTICO 4er;,019,;;;Ballett;1
BE2;Ballett Spitze;19:30:00;20:00:00;Donnerstag;ARTICO 4er;,019,;;;Ballett;1
C93;Einrad Anfänger;16:45:00;17:30:00;Donnerstag;ARTICO 5er;,004,;;;Circus;1
S11;Salsa Einsteiger;18:30:00;19:30:00;Donnerstag;ARTICO 5er;,026,,052,;Ferienkurs;;Salsa L.A.;2
S21;Salsa Fortgeschritten;19:45:00;21:15:00;Donnerstag;ARTICO 5er;,026,,052,;Ferienkurs;;Salsa L.A.;2
AF1;Schule Freystadt;14:15:00;15:45:00;Donnerstag;Freystadt;,006,;;;Projekt;1
CF1;Circussternchen Freystadt;15:15:00;16:00:00;Donnerstag;Freystadt;,006,,054,,102,;;;Circus;3
CF2;Circuskids Freystadt;16:00:00;17:00:00;Donnerstag;Freystadt;,029,,054,,102,;;;Circus;3
CF3;Circusjuniors Freystadt;17:00:00;18:00:00;Donnerstag;Freystadt;,029,,054,,102,;;;Circus;3
AS2;Circus Haus St. Marien Do;13:00:00;13:45:00;Donnerstag;Haus St. Marien;,005,,001,;;;Projekt;2
CFfa;Fahrt nach Freystadt 1h;14:15:00;15:15:00;Donnerstag;on the road;,102,;;;Circus;1
BP3;Ballettsternchen Postbauer-Heng;14:30:00;15:30:00;Donnerstag;Postbauer-Heng;,014,;;;Ballett;1
BP2;Ballettkids Postbauer-Heng;15:30:00;16:15:00;Donnerstag;Postbauer-Heng;,014,;;;Ballett;1
BP1;Balletfeen Postbauer-Heng;16:15:00;17:00:00;Donnerstag;Postbauer-Heng;,014,;;;Ballett;1
